source,external_id,true_entity_id,is_confusable_distinct
crm,CRM-00032,E0033,0
directory,DIR-00031,E0033,0
crm,CRM-00033,E0033,0
crm,CRM-00034,E0034,0
registry,REG-00027,E0034,0
directory,DIR-00032,E0035,0
registry,REG-00028,E0035,0
crm,CRM-00035,E0036,0
directory,DIR-00033,E0036,0
registry,REG-00029,E0036,0
directory,DIR-00034,E0036,0
crm,CRM-00036,E0037,0
directory,DIR-00035,E0037,0
registry,REG-00030,E0037,0
crm,CRM-00037,E0038,0
directory,DIR-00036,E0038,0
registry,REG-00031,E0038,0
crm,CRM-00038,E0039,0
registry,REG-00032,E0039,0
directory,DIR-00037,E0039,0
crm,CRM-00039,E0039,0
directory,DIR-00038,E0040,0
registry,REG-00033,E0040,0
directory,DIR-00039,E0041,0
crm,CRM-00040,E0041,0
registry,REG-00034,E0041,0
directory,DIR-00040,E0041,0
directory,DIR-00041,E0042,0
crm,CRM-00041,E0042,0
registry,REG-00035,E0042,0
registry,REG-00036,E0043,0
crm,CRM-00042,E0043,0
directory,DIR-00042,E0043,0
crm,CRM-00043,E0043,0
crm,CRM-00044,E0044,0
registry,REG-00037,E0044,0
directory,DIR-00043,E0044,0
crm,CRM-00045,E0045,0
directory,DIR-00044,E0045,0
registry,REG-00038,E0045,0
crm,CRM-00046,E0046,0
directory,DIR-00045,E0046,0
registry,REG-00039,E0046,0
crm,CRM-00047,E0046,0
crm,CRM-00048,E0047,0
registry,REG-00040,E0047,0
directory,DIR-00046,E0048,0
registry,REG-00041,E0048,0
crm,CRM-00049,E0049,0
directory,DIR-00047,E0049,0
registry,REG-00042,E0050,0
directory,DIR-00048,E0050,0
crm,CRM-00050,E0050,0
directory,DIR-00049,E0050,0
crm,CRM-00051,E0051,0
directory,DIR-00050,E0051,0
registry,REG-00043,E0051,0
registry,REG-00044,E0052,0
crm,CRM-00052,E0052,0
directory,DIR-00051,E0052,0
registry,REG-00045,E0053,0
crm,CRM-00053,E0053,0
directory,DIR-00052,E0054,0
crm,CRM-00054,E0054,0
crm,CRM-00055,E0055,0
registry,REG-00046,E0055,0
directory,DIR-00053,E0055,0
registry,REG-00047,E0056,0
crm,CRM-00056,E0056,0
directory,DIR-00054,E0056,0
directory,DIR-00055,E0057,0
crm,CRM-00057,E0057,0
registry,REG-00048,E0057,0
crm,CRM-00058,E0058,0
directory,DIR-00056,E0058,0
registry,REG-00049,E0058,0
directory,DIR-00057,E0059,0
registry,REG-00050,E0059,0
crm,CRM-00059,E0059,0
registry,REG-00051,E0060,0
crm,CRM-00060,E0060,0
directory,DIR-00058,E0060,0
directory,DIR-00059,E0061,0
registry,REG-00052,E0061,0
crm,CRM-00061,E0061,0
directory,DIR-00060,E0061,0
crm,CRM-00062,E0062,0
directory,DIR-00061,E0062,0
registry,REG-00053,E0062,0
registry,REG-00054,E0063,0
directory,DIR-00062,E0063,0
crm,CRM-00063,E0063,0
crm,CRM-00064,E0064,0
registry,REG-00055,E0064,0
directory,DIR-00063,E0064,0
directory,DIR-00064,E0065,0
crm,CRM-00065,E0065,0
registry,REG-00056,E0065,0
registry,REG-00057,E0065,0
crm,CRM-00066,E0066,0
directory,DIR-00065,E0066,0
registry,REG-00058,E0066,0
crm,CRM-00067,E0067,0
registry,REG-00059,E0067,0
crm,CRM-00068,E0068,0
directory,DIR-00066,E0068,0
crm,CRM-00069,E0069,0
registry,REG-00060,E0069,0
directory,DIR-00067,E0070,0
registry,REG-00061,E0070,0
registry,REG-00062,E0071,0
directory,DIR-00068,E0071,0
crm,CRM-00070,E0071,0
directory,DIR-00069,E0072,0
crm,CRM-00071,E0072,0
registry,REG-00063,E0072,0
registry,REG-00064,E0072,0
registry,REG-00065,E0073,0
crm,CRM-00072,E0073,0
crm,CRM-00073,E0074,0
registry,REG-00066,E0074,0
crm,CRM-00074,E0075,0
registry,REG-00067,E0075,0
registry,REG-00068,E0076,0
directory,DIR-00070,E0076,0
registry,REG-00069,E0077,0
crm,CRM-00075,E0077,0
directory,DIR-00071,E0077,0
registry,REG-00070,E0077,0
directory,DIR-00072,E0078,0
crm,CRM-00076,E0078,0
crm,CRM-00077,E0079,0
directory,DIR-00073,E0079,0
registry,REG-00071,E0080,0
directory,DIR-00074,E0080,0
crm,CRM-00078,E0080,0
crm,CRM-00079,E0080,0
directory,DIR-00075,E0081,0
crm,CRM-00080,E0081,0
crm,CRM-00081,E0082,0
registry,REG-00072,E0082,0
directory,DIR-00076,E0082,0
directory,DIR-00077,E0082,0
registry,REG-00073,E0083,0
directory,DIR-00078,E0083,0
crm,CRM-00082,E0083,0
registry,REG-00074,E0084,0
crm,CRM-00083,E0084,0
directory,DIR-00079,E0084,0
registry,REG-00075,E0084,0
registry,REG-00076,E0085,0
crm,CRM-00084,E0085,0
directory,DIR-00080,E0085,0
crm,CRM-00085,E0085,0
directory,DIR-00081,E0086,0
registry,REG-00077,E0086,0
crm,CRM-00086,E0086,0
crm,CRM-00087,E0087,0
directory,DIR-00082,E0087,0
crm,CRM-00088,E0088,0
registry,REG-00078,E0088,0
directory,DIR-00083,E0088,0
registry,REG-00079,E0088,0
registry,REG-00080,E0089,0
directory,DIR-00084,E0089,0
crm,CRM-00089,E0089,0
registry,REG-00081,E0090,0
directory,DIR-00085,E0090,0
registry,REG-00082,E0091,0
directory,DIR-00086,E0091,0
crm,CRM-00090,E0091,0
registry,REG-00083,E0092,0
crm,CRM-00091,E0092,0
directory,DIR-00087,E0092,0
registry,REG-00084,E0092,0
directory,DIR-00088,E0093,0
registry,REG-00085,E0093,0
directory,DIR-00089,E0094,0
crm,CRM-00092,E0094,0
crm,CRM-00093,E0095,0
directory,DIR-00090,E0095,0
registry,REG-00086,E0095,0
registry,REG-00087,E0096,0
directory,DIR-00091,E0096,0
crm,CRM-00094,E0097,0
directory,DIR-00092,E0097,0
registry,REG-00088,E0097,0
directory,DIR-00093,E0098,0
crm,CRM-00095,E0098,0
registry,REG-00089,E0098,0
directory,DIR-00094,E0098,0
directory,DIR-00095,E0099,0
crm,CRM-00096,E0099,0
registry,REG-00090,E0099,0
registry,REG-00091,E0100,0
directory,DIR-00096,E0100,0
crm,CRM-00097,E0100,0
crm,CRM-00098,E0100,0
directory,DIR-00097,E0101,0
crm,CRM-00099,E0101,0
registry,REG-00092,E0101,0
registry,REG-00093,E0102,0
directory,DIR-00098,E0102,0
crm,CRM-00100,E0102,0
directory,DIR-00099,E0103,0
registry,REG-00094,E0103,0
registry,REG-00095,E0104,0
crm,CRM-00101,E0104,0
directory,DIR-00100,E0104,0
registry,REG-00096,E0105,0
directory,DIR-00101,E0105,0
crm,CRM-00102,E0105,0
directory,DIR-00102,E0105,0
crm,CRM-00103,E0106,0
directory,DIR-00103,E0106,0
directory,DIR-00104,E0107,0
crm,CRM-00104,E0107,0
registry,REG-00097,E0107,0
registry,REG-00098,E0108,0
crm,CRM-00105,E0108,0
directory,DIR-00105,E0109,0
registry,REG-00099,E0109,0
crm,CRM-00106,E0109,0
crm,CRM-00107,E0109,0
registry,REG-00100,E0110,0
crm,CRM-00108,E0110,0
crm,CRM-00109,E0111,0
registry,REG-00101,E0111,0
directory,DIR-00106,E0111,0
directory,DIR-00107,E0112,0
crm,CRM-00110,E0112,0
crm,CRM-00111,E0113,0
registry,REG-00102,E0113,0
directory,DIR-00108,E0113,0
directory,DIR-00109,E0113,0
registry,REG-00103,E0114,0
crm,CRM-00112,E0114,0
registry,REG-00104,E0115,0
directory,DIR-00110,E0115,0
crm,CRM-00113,E0115,0
directory,DIR-00111,E0116,0
registry,REG-00105,E0116,0
crm,CRM-00114,E0116,0
crm,CRM-00115,E0116,0
registry,REG-00106,E0117,0
crm,CRM-00116,E0117,0
directory,DIR-00112,E0118,0
crm,CRM-00117,E0118,0
registry,REG-00107,E0118,0
directory,DIR-00113,E0119,0
registry,REG-00108,E0119,0
registry,REG-00109,E0120,0
crm,CRM-00118,E0120,0
directory,DIR-00114,E0121,0
registry,REG-00110,E0121,0
crm,CRM-00119,E0121,0
directory,DIR-00115,E0122,0
registry,REG-00111,E0122,0
crm,CRM-00120,E0122,0
registry,REG-00112,E0123,0
directory,DIR-00116,E0123,0
registry,REG-00113,E0124,0
directory,DIR-00117,E0124,0
directory,DIR-00118,E0125,0
registry,REG-00114,E0125,0
crm,CRM-00121,E0125,0
registry,REG-00115,E0126,0
crm,CRM-00122,E0126,0
registry,REG-00116,E0127,0
directory,DIR-00119,E0127,0
crm,CRM-00123,E0127,0
registry,REG-00117,E0128,0
crm,CRM-00124,E0128,0
directory,DIR-00120,E0128,0
crm,CRM-00125,E0129,0
directory,DIR-00121,E0129,0
crm,CRM-00126,E0130,0
directory,DIR-00122,E0130,0
registry,REG-00118,E0131,0
directory,DIR-00123,E0131,0
crm,CRM-00127,E0132,0
registry,REG-00119,E0132,0
directory,DIR-00124,E0132,0
directory,DIR-00125,E0133,0
registry,REG-00120,E0133,0
directory,DIR-00126,E0134,0
crm,CRM-00128,E0134,0
registry,REG-00121,E0134,0
crm,CRM-00129,E0135,0
directory,DIR-00127,E0135,0
registry,REG-00122,E0135,0
crm,CRM-00130,E0136,0
directory,DIR-00128,E0136,0
registry,REG-00123,E0136,0
crm,CRM-00131,E0137,0
registry,REG-00124,E0137,0
directory,DIR-00129,E0138,0
crm,CRM-00132,E0138,0
registry,REG-00125,E0138,0
directory,DIR-00130,E0139,0
registry,REG-00126,E0139,0
crm,CRM-00133,E0140,0
registry,REG-00127,E0140,0
directory,DIR-00131,E0140,0
crm,CRM-00134,E0141,0
directory,DIR-00132,E0141,0
directory,DIR-00133,E0142,0
crm,CRM-00135,E0142,0
registry,REG-00128,E0142,0
crm,CRM-00136,E0143,0
directory,DIR-00134,E0143,0
directory,DIR-00135,E0144,0
crm,CRM-00137,E0144,0
crm,CRM-00138,E0145,0
registry,REG-00129,E0145,0
crm,CRM-00139,E0146,0
directory,DIR-00136,E0146,0
registry,REG-00130,E0146,0
directory,DIR-00137,E0146,0
crm,CRM-00140,E0147,0
directory,DIR-00138,E0147,0
registry,REG-00131,E0147,0
directory,DIR-00139,E0148,0
registry,REG-00132,E0148,0
registry,REG-00133,E0149,0
directory,DIR-00140,E0149,0
crm,CRM-00141,E0150,0
directory,DIR-00141,E0150,0
registry,REG-00134,E0150,0
crm,CRM-00142,E0151,0
directory,DIR-00142,E0151,0
registry,REG-00135,E0151,0
crm,CRM-00143,E0152,0
directory,DIR-00143,E0152,0
registry,REG-00136,E0153,0
crm,CRM-00144,E0153,0
directory,DIR-00144,E0153,0
registry,REG-00137,E0154,0
directory,DIR-00145,E0154,0
crm,CRM-00145,E0155,0
registry,REG-00138,E0155,0
directory,DIR-00146,E0155,0
directory,DIR-00147,E0156,0
registry,REG-00139,E0156,0
crm,CRM-00146,E0157,0
registry,REG-00140,E0157,0
directory,DIR-00148,E0157,0
directory,DIR-00149,E0157,0
directory,DIR-00150,E0158,0
registry,REG-00141,E0158,0
crm,CRM-00147,E0158,0
directory,DIR-00151,E0159,0
crm,CRM-00148,E0159,0
registry,REG-00142,E0159,0
directory,DIR-00152,E0160,0
crm,CRM-00149,E0160,0
registry,REG-00143,E0160,0
directory,DIR-00153,E0160,0
directory,DIR-00154,E0161,0
registry,REG-00144,E0161,0
crm,CRM-00150,E0161,0
directory,DIR-00155,E0161,0
crm,CRM-00151,E0162,0
registry,REG-00145,E0162,0
directory,DIR-00156,E0162,0
registry,REG-00146,E0163,0
directory,DIR-00157,E0163,0
crm,CRM-00152,E0163,0
directory,DIR-00158,E0163,0
directory,DIR-00159,E0164,0
registry,REG-00147,E0164,0
crm,CRM-00153,E0164,0
directory,DIR-00160,E0165,0
crm,CRM-00154,E0165,0
registry,REG-00148,E0165,0
directory,DIR-00161,E0166,0
crm,CRM-00155,E0166,0
registry,REG-00149,E0166,0
crm,CRM-00156,E0167,0
registry,REG-00150,E0167,0
directory,DIR-00162,E0168,0
registry,REG-00151,E0168,0
crm,CRM-00157,E0168,0
registry,REG-00152,E0169,0
crm,CRM-00158,E0169,0
directory,DIR-00163,E0169,0
registry,REG-00153,E0169,0
registry,REG-00154,E0170,0
directory,DIR-00164,E0170,0
crm,CRM-00159,E0170,0
directory,DIR-00165,E0171,0
registry,REG-00155,E0171,0
crm,CRM-00160,E0171,0
directory,DIR-00166,E0172,0
crm,CRM-00161,E0172,0
crm,CRM-00162,E0173,0
directory,DIR-00167,E0173,0
crm,CRM-00163,E0174,0
directory,DIR-00168,E0174,0
registry,REG-00156,E0174,0
registry,REG-00157,E0175,0
crm,CRM-00164,E0175,0
directory,DIR-00169,E0175,0
registry,REG-00158,E0175,0
directory,DIR-00170,E0176,0
registry,REG-00159,E0176,0
crm,CRM-00165,E0176,0
crm,CRM-00166,E0177,0
directory,DIR-00171,E0177,0
crm,CRM-00167,E0178,0
registry,REG-00160,E0178,0
directory,DIR-00172,E0178,0
crm,CRM-00168,E0178,0
registry,REG-00161,E0179,0
directory,DIR-00173,E0179,0
registry,REG-00162,E0180,0
crm,CRM-00169,E0180,0
directory,DIR-00174,E0181,0
registry,REG-00163,E0181,0
registry,REG-00164,E0182,0
crm,CRM-00170,E0182,0
registry,REG-00165,E0183,0
crm,CRM-00171,E0183,0
directory,DIR-00175,E0183,0
directory,DIR-00176,E0183,0
directory,DIR-00177,E0184,0
registry,REG-00166,E0184,0
directory,DIR-00178,E0185,0
registry,REG-00167,E0185,0
crm,CRM-00172,E0185,0
crm,CRM-00173,E0186,0
registry,REG-00168,E0186,0
directory,DIR-00179,E0186,0
directory,DIR-00180,E0187,0
crm,CRM-00174,E0187,0
registry,REG-00169,E0187,0
registry,REG-00170,E0188,0
crm,CRM-00175,E0188,0
directory,DIR-00181,E0188,0
registry,REG-00171,E0189,0
crm,CRM-00176,E0189,0
registry,REG-00172,E0190,0
directory,DIR-00182,E0190,0
crm,CRM-00177,E0190,0
directory,DIR-00183,E0190,0
directory,DIR-00184,E0191,0
crm,CRM-00178,E0191,0
crm,CRM-00179,E0192,0
registry,REG-00173,E0192,0
directory,DIR-00185,E0192,0
crm,CRM-00180,E0193,0
directory,DIR-00186,E0193,0
registry,REG-00174,E0193,0
directory,DIR-00187,E0193,0
crm,CRM-00181,E0194,0
registry,REG-00175,E0194,0
directory,DIR-00188,E0194,0
registry,REG-00176,E0194,0
registry,REG-00177,E0195,0
crm,CRM-00182,E0195,0
directory,DIR-00189,E0195,0
crm,CRM-00183,E0195,0
crm,CRM-00184,E0196,0
registry,REG-00178,E0196,0
directory,DIR-00190,E0196,0
registry,REG-00179,E0197,0
directory,DIR-00191,E0197,0
crm,CRM-00185,E0197,0
directory,DIR-00192,E0198,0
registry,REG-00180,E0198,0
directory,DIR-00193,E0199,0
crm,CRM-00186,E0199,0
directory,DIR-00194,E0200,0
crm,CRM-00187,E0200,0
registry,REG-00181,E0200,0
crm,CRM-00188,E0201,0
registry,REG-00182,E0201,0
directory,DIR-00195,E0201,0
directory,DIR-00196,E0201,0
crm,CRM-00189,E0202,0
registry,REG-00183,E0202,0
registry,REG-00184,E0203,0
crm,CRM-00190,E0203,0
registry,REG-00185,E0204,0
directory,DIR-00197,E0204,0
directory,DIR-00198,E0205,0
registry,REG-00186,E0205,0
registry,REG-00187,E0206,0
directory,DIR-00199,E0206,0
crm,CRM-00191,E0206,0
registry,REG-00188,E0206,0
registry,REG-00189,E0207,0
crm,CRM-00192,E0207,0
directory,DIR-00200,E0207,0
registry,REG-00190,E0208,0
directory,DIR-00201,E0208,0
crm,CRM-00193,E0208,0
directory,DIR-00202,E0209,0
crm,CRM-00194,E0209,0
registry,REG-00191,E0210,0
crm,CRM-00195,E0210,0
directory,DIR-00203,E0210,0
crm,CRM-00196,E0210,0
crm,CRM-00197,E0211,0
directory,DIR-00204,E0211,0
registry,REG-00192,E0211,0
directory,DIR-00205,E0211,0
registry,REG-00193,E0212,0
directory,DIR-00206,E0212,0
crm,CRM-00198,E0212,0
registry,REG-00194,E0212,0
directory,DIR-00207,E0213,0
registry,REG-00195,E0213,0
crm,CRM-00199,E0213,0
directory,DIR-00208,E0214,0
crm,CRM-00200,E0214,0
registry,REG-00196,E0214,0
registry,REG-00197,E0214,0
crm,CRM-00201,E0215,0
directory,DIR-00209,E0215,0
crm,CRM-00202,E0216,0
directory,DIR-00210,E0216,0
crm,CRM-00203,E0217,0
registry,REG-00198,E0217,0
directory,DIR-00211,E0217,0
directory,DIR-00212,E0218,0
crm,CRM-00204,E0218,0
registry,REG-00199,E0219,0
crm,CRM-00205,E0219,0
directory,DIR-00213,E0219,0
crm,CRM-00206,E0220,0
directory,DIR-00214,E0220,0
registry,REG-00200,E0220,0
crm,CRM-00207,E0220,0
directory,DIR-00215,E0221,0
crm,CRM-00208,E0221,0
crm,CRM-00209,E0222,0
registry,REG-00201,E0222,0
directory,DIR-00216,E0222,0
registry,REG-00202,E0223,0
directory,DIR-00217,E0223,0
crm,CRM-00210,E0223,0
crm,CRM-00211,E0224,0
directory,DIR-00218,E0224,0
registry,REG-00203,E0224,0
crm,CRM-00212,E0224,0
crm,CRM-00213,E0225,0
registry,REG-00204,E0225,0
directory,DIR-00219,E0225,0
crm,CRM-00214,E0226,0
registry,REG-00205,E0226,0
directory,DIR-00220,E0226,0
crm,CRM-00215,E0226,0
directory,DIR-00221,E0227,0
registry,REG-00206,E0227,0
crm,CRM-00216,E0227,0
registry,REG-00207,E0228,0
crm,CRM-00217,E0228,0
directory,DIR-00222,E0228,0
registry,REG-00208,E0229,0
crm,CRM-00218,E0229,0
directory,DIR-00223,E0229,0
registry,REG-00209,E0229,0
registry,REG-00210,E0230,0
directory,DIR-00224,E0230,0
crm,CRM-00219,E0230,0
registry,REG-00211,E0231,0
crm,CRM-00220,E0231,0
directory,DIR-00225,E0231,0
crm,CRM-00221,E0232,0
registry,REG-00212,E0232,0
directory,DIR-00226,E0232,0
registry,REG-00213,E0233,0
crm,CRM-00222,E0233,0
directory,DIR-00227,E0233,0
crm,CRM-00223,E0233,0
directory,DIR-00228,E0234,0
crm,CRM-00224,E0234,0
registry,REG-00214,E0234,0
crm,CRM-00225,E0235,0
registry,REG-00215,E0235,0
directory,DIR-00229,E0235,0
registry,REG-00216,E0236,0
directory,DIR-00230,E0236,0
crm,CRM-00226,E0236,0
registry,REG-00217,E0236,0
directory,DIR-00231,E0237,0
registry,REG-00218,E0237,0
crm,CRM-00227,E0238,0
directory,DIR-00232,E0238,0
registry,REG-00219,E0238,0
crm,CRM-00228,E0238,0
directory,DIR-00233,E0239,0
registry,REG-00220,E0239,0
crm,CRM-00229,E0239,0
crm,CRM-00230,E0240,0
registry,REG-00221,E0240,0
directory,DIR-00234,E0241,0
crm,CRM-00231,E0241,0
directory,DIR-00235,E0242,0
crm,CRM-00232,E0242,0
registry,REG-00222,E0242,0
directory,DIR-00236,E0243,0
registry,REG-00223,E0243,0
crm,CRM-00233,E0243,0
crm,CRM-00234,E0244,0
registry,REG-00224,E0244,0
directory,DIR-00237,E0244,0
crm,CRM-00235,E0244,0
registry,REG-00225,E0245,0
directory,DIR-00238,E0245,0
registry,REG-00226,E0246,0
directory,DIR-00239,E0246,0
crm,CRM-00236,E0247,0
directory,DIR-00240,E0247,0
registry,REG-00227,E0247,0
crm,CRM-00237,E0248,0
registry,REG-00228,E0248,0
directory,DIR-00241,E0248,0
crm,CRM-00238,E0249,0
directory,DIR-00242,E0249,0
registry,REG-00229,E0249,0
directory,DIR-00243,E0250,0
crm,CRM-00239,E0250,0
crm,CRM-00240,E0251,0
directory,DIR-00244,E0251,0
directory,DIR-00245,E0252,0
crm,CRM-00241,E0252,0
registry,REG-00230,E0252,0
directory,DIR-00246,E0252,0
crm,CRM-00242,E0253,0
directory,DIR-00247,E0253,0
registry,REG-00231,E0254,0
crm,CRM-00243,E0254,0
crm,CRM-00244,E0255,0
directory,DIR-00248,E0255,0
registry,REG-00232,E0255,0
registry,REG-00233,E0256,0
directory,DIR-00249,E0256,0
crm,CRM-00245,E0256,0
registry,REG-00234,E0257,0
crm,CRM-00246,E0257,0
directory,DIR-00250,E0257,0
directory,DIR-00251,E0257,0
directory,DIR-00252,E0258,0
registry,REG-00235,E0258,0
directory,DIR-00253,E0259,0
crm,CRM-00247,E0259,0
registry,REG-00236,E0259,0
crm,CRM-00248,E0260,0
registry,REG-00237,E0260,0
directory,DIR-00254,E0260,0
directory,DIR-00255,E0261,0
registry,REG-00238,E0261,0
crm,CRM-00249,E0261,0
registry,REG-00239,E0261,0
directory,DIR-00256,E0262,0
registry,REG-00240,E0262,0
crm,CRM-00250,E0262,0
crm,CRM-00251,E0263,0
registry,REG-00241,E0263,0
registry,REG-00242,E0264,0
crm,CRM-00252,E0264,0
directory,DIR-00257,E0264,0
crm,CRM-00253,E0265,0
registry,REG-00243,E0265,0
directory,DIR-00258,E0265,0
crm,CRM-00254,E0266,0
registry,REG-00244,E0266,0
crm,CRM-00255,E0267,0
directory,DIR-00259,E0267,0
registry,REG-00245,E0267,0
registry,REG-00246,E0268,0
directory,DIR-00260,E0268,0
crm,CRM-00256,E0269,0
directory,DIR-00261,E0269,0
crm,CRM-00257,E0270,0
directory,DIR-00262,E0270,0
registry,REG-00247,E0271,0
crm,CRM-00258,E0271,0
directory,DIR-00263,E0271,0
crm,CRM-00259,E0271,0
registry,REG-00248,E0272,0
directory,DIR-00264,E0272,0
crm,CRM-00260,E0272,0
directory,DIR-00265,E0272,0
crm,CRM-00261,E0273,0
directory,DIR-00266,E0273,0
registry,REG-00249,E0273,0
crm,CRM-00262,E0274,0
registry,REG-00250,E0274,0
crm,CRM-00263,E0275,0
registry,REG-00251,E0275,0
directory,DIR-00267,E0276,0
registry,REG-00252,E0276,0
directory,DIR-00268,E0277,0
registry,REG-00253,E0277,0
directory,DIR-00269,E0278,0
registry,REG-00254,E0278,0
registry,REG-00255,E0279,0
crm,CRM-00264,E0279,0
directory,DIR-00270,E0280,0
registry,REG-00256,E0280,0
crm,CRM-00265,E0281,0
registry,REG-00257,E0281,0
directory,DIR-00271,E0281,0
crm,CRM-00266,E0282,0
registry,REG-00258,E0282,0
directory,DIR-00272,E0282,0
registry,REG-00259,E0282,0
directory,DIR-00273,E0283,0
crm,CRM-00267,E0283,0
registry,REG-00260,E0283,0
registry,REG-00261,E0284,0
crm,CRM-00268,E0284,0
registry,REG-00262,E0285,0
directory,DIR-00274,E0285,0
crm,CRM-00269,E0285,0
crm,CRM-00270,E0285,0
registry,REG-00263,E0286,0
directory,DIR-00275,E0286,0
crm,CRM-00271,E0286,0
crm,CRM-00272,E0287,0
directory,DIR-00276,E0287,0
registry,REG-00264,E0287,0
registry,REG-00265,E0288,0
directory,DIR-00277,E0288,0
crm,CRM-00273,E0288,0
directory,DIR-00278,E0289,0
registry,REG-00266,E0289,0
registry,REG-00267,E0290,0
crm,CRM-00274,E0290,0
directory,DIR-00279,E0291,0
registry,REG-00268,E0291,0
crm,CRM-00275,E0291,0
directory,DIR-00280,E0292,0
crm,CRM-00276,E0292,0
registry,REG-00269,E0292,0
registry,REG-00270,E0293,0
directory,DIR-00281,E0293,0
directory,DIR-00282,E0294,0
crm,CRM-00277,E0294,0
registry,REG-00271,E0294,0
registry,REG-00272,E0295,0
crm,CRM-00278,E0295,0
directory,DIR-00283,E0295,0
registry,REG-00273,E0296,0
directory,DIR-00284,E0296,0
crm,CRM-00279,E0296,0
crm,CRM-00280,E0296,0
crm,CRM-00281,E0297,0
registry,REG-00274,E0297,0
directory,DIR-00285,E0298,0
crm,CRM-00282,E0298,0
registry,REG-00275,E0299,0
crm,CRM-00283,E0299,0
directory,DIR-00286,E0300,0
crm,CRM-00284,E0300,0
registry,REG-00276,E0300,0
registry,REG-00277,E0300,0
registry,REG-00278,E0301,0
crm,CRM-00285,E0301,0
directory,DIR-00287,E0301,0
crm,CRM-00286,E0302,0
directory,DIR-00288,E0302,0
registry,REG-00279,E0303,0
crm,CRM-00287,E0303,0
registry,REG-00280,E0304,0
directory,DIR-00289,E0304,0
crm,CRM-00288,E0304,0
directory,DIR-00290,E0305,0
crm,CRM-00289,E0305,0
registry,REG-00281,E0305,0
registry,REG-00282,E0306,0
directory,DIR-00291,E0306,0
crm,CRM-00290,E0306,0
crm,CRM-00291,E0306,0
crm,CRM-00292,E0307,0
registry,REG-00283,E0307,0
directory,DIR-00292,E0307,0
crm,CRM-00293,E0308,1
directory,DIR-00293,E0308,1
registry,REG-00284,E0308,1
registry,REG-00285,E0309,1
crm,CRM-00294,E0309,1
directory,DIR-00294,E0309,1
registry,REG-00286,E0310,1
directory,DIR-00295,E0310,1
registry,REG-00287,E0311,1
crm,CRM-00295,E0311,1
directory,DIR-00296,E0311,1
directory,DIR-00297,E0312,1
registry,REG-00288,E0312,1
crm,CRM-00296,E0312,1
crm,CRM-00297,E0313,1
directory,DIR-00298,E0313,1
registry,REG-00289,E0313,1
crm,CRM-00298,E0314,1
registry,REG-00290,E0314,1
directory,DIR-00299,E0314,1
registry,REG-00291,E0315,1
crm,CRM-00299,E0315,1
crm,CRM-00300,E0316,1
